32;1.8631650000000002;[35 , 33 , 34 , 43 , 0 , 21 , 48 , 31 , 44 , 18 , 9 , 8 , 7 , 40 , 2 , 16 , 17 , 30 , 20 , 22 , 19 , 49 , 15 , 28 , 29 , 1 , 6 , 41 , 45 , 24 , 50 , 10 , 51 , 13 , 12 , 46 , 25 , 26 , 27 , 11 , 32 , 42 , 3 , 5 , 14 , 4 , 23 , 47 , 37 , 36 , 39 , 38];8796.207623
31;1.18681625;[41 , 29 , 22 , 19 , 49 , 28 , 15 , 45 , 26 , 27 , 11 , 3 , 5 , 14 , 4 , 37 , 43 , 0 , 30 , 20 , 17 , 21 , 31 , 48 , 35 , 34 , 33 , 38 , 39 , 36 , 47 , 23 , 24 , 25 , 46 , 13 , 12 , 51 , 10 , 50 , 32 , 42 , 44 , 18 , 9 , 8 , 7 , 40 , 2 , 16 , 6 , 1];9105.892173999999
30;1.19010625;[17 , 2 , 16 , 30 , 28 , 46 , 25 , 45 , 47 , 23 , 37 , 39 , 36 , 33 , 34 , 35 , 38 , 9 , 8 , 7 , 40 , 18 , 44 , 48 , 0 , 21 , 22 , 29 , 1 , 6 , 41 , 20 , 19 , 49 , 15 , 43 , 4 , 3 , 42 , 32 , 50 , 10 , 51 , 13 , 12 , 26 , 27 , 11 , 24 , 5 , 14 , 31];9639.071238999999
29;1.2199049999999998;[42 , 14 , 23 , 47 , 36 , 44 , 18 , 40 , 8 , 9 , 7 , 2 , 16 , 17 , 21 , 0 , 34 , 33 , 43 , 45 , 15 , 28 , 49 , 19 , 22 , 29 , 1 , 6 , 41 , 20 , 30 , 31 , 48 , 35 , 38 , 39 , 37 , 4 , 5 , 3 , 24 , 11 , 27 , 26 , 25 , 46 , 12 , 13 , 51 , 10 , 50 , 32];8391.156289
28;1.26007875;[31 , 17 , 2 , 16 , 20 , 41 , 6 , 1 , 29 , 28 , 15 , 43 , 33 , 36 , 47 , 23 , 4 , 5 , 14 , 37 , 39 , 38 , 35 , 34 , 48 , 0 , 21 , 30 , 22 , 19 , 49 , 45 , 25 , 46 , 13 , 51 , 12 , 26 , 27 , 10 , 50 , 11 , 24 , 3 , 42 , 32 , 9 , 8 , 7 , 40 , 18 , 44];8448.70026
27;1.25004375;[14 , 4 , 23 , 47 , 38 , 35 , 0 , 21 , 30 , 20 , 6 , 1 , 41 , 29 , 22 , 45 , 24 , 25 , 46 , 13 , 51 , 12 , 26 , 27 , 11 , 10 , 50 , 32 , 42 , 44 , 2 , 16 , 17 , 31 , 48 , 34 , 33 , 15 , 28 , 19 , 49 , 43 , 36 , 5 , 3 , 9 , 8 , 7 , 40 , 18 , 39 , 37];9645.454309
26;1.1974950000000002;[18 , 17 , 30 , 21 , 0 , 22 , 19 , 49 , 15 , 43 , 33 , 38 , 39 , 37 , 5 , 3 , 11 , 27 , 26 , 25 , 28 , 29 , 41 , 1 , 6 , 20 , 16 , 2 , 44 , 31 , 48 , 35 , 34 , 36 , 47 , 24 , 50 , 10 , 51 , 13 , 12 , 46 , 45 , 23 , 4 , 14 , 42 , 32 , 9 , 8 , 7 , 40];9265.978027
25;1.19108375;[19 , 49 , 15 , 45 , 11 , 27 , 26 , 25 , 28 , 29 , 41 , 1 , 6 , 16 , 20 , 22 , 43 , 46 , 12 , 13 , 51 , 10 , 50 , 32 , 42 , 37 , 39 , 38 , 48 , 2 , 17 , 30 , 21 , 35 , 34 , 33 , 36 , 47 , 23 , 24 , 3 , 5 , 4 , 14 , 9 , 8 , 7 , 40 , 18 , 44 , 31 , 0];9831.223651
24;1.18496;[9 , 32 , 42 , 44 , 31 , 48 , 0 , 21 , 30 , 22 , 19 , 49 , 43 , 47 , 5 , 3 , 50 , 10 , 11 , 24 , 45 , 15 , 28 , 25 , 27 , 26 , 12 , 51 , 13 , 46 , 29 , 1 , 6 , 41 , 20 , 16 , 2 , 17 , 38 , 33 , 34 , 35 , 36 , 14 , 4 , 23 , 37 , 39 , 18 , 40 , 7 , 8];9877.292878
23;1.1931312500000002;[39 , 37 , 36 , 35 , 48 , 31 , 17 , 30 , 20 , 41 , 1 , 6 , 16 , 2 , 40 , 7 , 8 , 9 , 32 , 42 , 18 , 44 , 21 , 0 , 22 , 29 , 28 , 15 , 45 , 5 , 14 , 4 , 23 , 47 , 3 , 24 , 11 , 50 , 10 , 51 , 13 , 12 , 46 , 25 , 26 , 27 , 49 , 19 , 43 , 33 , 34 , 38];8947.343304
